,accession,deepwalk_embedding
23434,Q9CQV8,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
23470,P35213,"[ 1.47490695e-01 -4.42424566e-02 -9.49395224e-02  1.49790227e-01
  1.43948331e-01  2.94039220e-01 -1.22693874e-01  1.59209725e-02
  4.42587346e-01 -1.26883328e-01  1.20852165e-01  6.09753318e-02
 -1.49595872e-01 -1.34321675e-01  3.34281772e-01  1.79928094e-01
  2.01159403e-01  3.04989070e-01  2.79337078e-01  6.92925677e-02
  9.13779885e-02  6.71622828e-02  2.33256280e-01 -1.50051236e-01
 -2.19771862e-02 -2.94685125e-01  1.04515374e-01 -2.98767030e-01
  1.50054067e-01 -1.34674966e-01  2.83831179e-01 -2.70705223e-01
 -7.06173629e-02 -9.69416127e-02  3.23289067e-01 -2.29129046e-01
  3.03248227e-01  3.71117473e-01  3.58633816e-01  6.10182844e-02
 -2.70695060e-01 -1.83125153e-01 -3.69797468e-01  1.76036149e-01
  3.32246460e-02 -5.95895797e-02  2.56416202e-01  3.12799454e-01
  4.69195358e-02  1.25131831e-01 -1.02997705e-01 -1.30143419e-01
 -6.06402159e-02  8.03513229e-02  2.41399303e-01 -1.45569175e-01
  4.87495272e-04  3.16217065e-01  1.35878086e-01 -3.43860477e-01
  1.15586510e-02  2.53920674e-01 -2.10317940e-01 -1.08595390e-03
 -4.24361991e-04  2.02041999e-01 -2.12809399e-01  2.03660354e-01
 -7.39586800e-02  3.22869927e-01  1.04651108e-01  3.04245800e-01
 -8.63327757e-02  1.39168635e-01 -1.85359538e-01 -1.22658625e-01
 -1.12435646e-01 -1.53052643e-01  1.55950844e-01  9.83765647e-02
  2.33772546e-01 -6.30782023e-02 -2.08783954e-01 -1.39886364e-01
  1.18463382e-01  1.27614751e-01  2.26043880e-01  2.46343851e-01
 -5.60322739e-02  7.94339776e-02 -3.59035671e-01  8.70500505e-02
 -1.46006271e-01 -1.03015967e-01  8.87722895e-02 -4.99523729e-02
  1.51048213e-01 -7.99856484e-02 -2.69058734e-01 -2.50401884e-01
 -2.50381172e-01 -9.43555683e-02 -1.12284385e-01 -1.49565205e-01
  3.06301732e-02 -2.28978410e-01 -1.04493983e-01  2.16696095e-02
 -1.29551947e-01  7.07817152e-02  2.06860393e-01 -9.14052799e-02
  1.55403279e-02  2.88837820e-01  5.87957613e-02 -1.34721652e-01
  1.60668239e-01  3.47226113e-01 -4.08317074e-02  9.76920947e-02
  1.41433999e-01 -4.51155812e-01  8.57274383e-02 -2.08430916e-01
  1.75569475e-01 -2.28621084e-02 -2.19861083e-02  2.55729288e-01]"
31435,P92177,"[ 0.14853586 -0.0447189  -0.09560377  0.15186282  0.14413345  0.29587308
 -0.12150091  0.01585658  0.44620708 -0.12784879  0.12200785  0.06147757
 -0.14899236 -0.13490945  0.33522326  0.17929202  0.20038728  0.30561644
  0.2801167   0.06926449  0.09162425  0.0685766   0.23375514 -0.15130773
 -0.02239168 -0.29539213  0.10511247 -0.2996717   0.14914328 -0.13496248
  0.28393912 -0.27225354 -0.07115762 -0.0975483   0.3253298  -0.23152176
  0.30601302  0.37264827  0.36171207  0.06051157 -0.27348247 -0.18411706
 -0.37189576  0.17666207  0.0346746  -0.06172051  0.25858963  0.31290105
  0.04553889  0.1265044  -0.10308429 -0.13121901 -0.06142616  0.07922164
  0.24197273 -0.14617875  0.00225709  0.31672394  0.13528015 -0.34412795
  0.01010118  0.25536108 -0.21229418  0.0004946  -0.00055572  0.202128
 -0.21381864  0.20357484 -0.07332358  0.32315794  0.10358973  0.3056203
 -0.08540371  0.13957345 -0.1854472  -0.12240126 -0.11274903 -0.1529305
  0.15691599  0.09752963  0.23351918 -0.06358573 -0.20959242 -0.13963248
  0.11717267  0.1259499   0.22539993  0.24601373 -0.05519462  0.07931432
 -0.3581963   0.08694595 -0.14625111 -0.10300621  0.08825323 -0.0504215
  0.15243594 -0.081964   -0.27196702 -0.25357342 -0.2534164  -0.09426162
 -0.11261786 -0.15206645  0.0311796  -0.22896183 -0.10316642  0.02088988
 -0.12834196  0.06960258  0.20548913 -0.09123427  0.01570393  0.28808948
  0.05860673 -0.13501407  0.16046263  0.34619674 -0.04089436  0.09877322
  0.14094655 -0.45029083  0.08699229 -0.20832214  0.17481449 -0.02336369
 -0.02157818  0.25446147]"
20966,P62258,"[ 0.10997075 -0.05778167 -0.17382656  0.1460713   0.12319295  0.26626602
 -0.12309536 -0.01063921  0.43570516 -0.20061621  0.08390071  0.05282062
 -0.15680659 -0.09951717  0.21598272  0.21215372  0.22720467  0.25575623
  0.29237074  0.06060228  0.15668322  0.02617075  0.19453067 -0.09055253
  0.02177641 -0.2660271  -0.0299133  -0.2290561   0.08031659 -0.12305675
  0.305441   -0.15849681 -0.12496251 -0.07614344  0.32934535 -0.21133031
  0.28827727  0.4012712   0.2158019   0.07079957 -0.250945   -0.12213686
 -0.27245492  0.15075447  0.01015485  0.02574428  0.25743702  0.34807754
  0.08914817  0.03315803 -0.04212603 -0.1684359  -0.05778813  0.13464224
  0.19819781 -0.12248012 -0.00052063  0.23972696  0.1715882  -0.2701868
 -0.00150471  0.13398264 -0.1353183  -0.00647549  0.0566511   0.19507429
 -0.22143199  0.22523552 -0.13679677  0.22242655  0.04655029  0.19108987
 -0.04143519  0.19651745 -0.16008583 -0.22939287 -0.05517029 -0.10961697
  0.12309518  0.12921244  0.2680639  -0.04924768 -0.16994081 -0.07176652
  0.18135719  0.13390401  0.1606202   0.18512881 -0.05128513  0.10814148
 -0.3416083   0.06804182 -0.11811343 -0.06546207  0.17617084  0.03221658
  0.08133709 -0.0424767  -0.23321734 -0.17390995 -0.14712775 -0.06756999
 -0.12147131 -0.1405442   0.04038034 -0.14463295 -0.10240856  0.02397538
 -0.04139625  0.07284545  0.24575901 -0.11116444 -0.02202262  0.20769618
  0.05271137 -0.1272836   0.12049308  0.35754222 -0.07188362 -0.01250575
  0.10547046 -0.2752557   0.03923588 -0.13796479  0.09731133  0.01289844
 -0.00139699  0.33141065]"
22,P62259,"[ 1.08150855e-01 -5.67628443e-02 -1.70830309e-01  1.43525243e-01
  1.20990247e-01  2.61863500e-01 -1.21189296e-01 -1.06233219e-02
  4.28037524e-01 -1.96824625e-01  8.25741589e-02  5.21524437e-02
 -1.54159874e-01 -9.79662463e-02  2.12434977e-01  2.09062293e-01
  2.23691002e-01  2.51792997e-01  2.87835717e-01  5.97537719e-02
  1.53946877e-01  2.58731619e-02  1.91215068e-01 -8.91983211e-02
  2.13556923e-02 -2.62449533e-01 -2.93963552e-02 -2.26476774e-01
  7.93335214e-02 -1.21472001e-01  3.01617563e-01 -1.56243429e-01
 -1.25569329e-01 -7.63555542e-02  3.30752164e-01 -2.12087587e-01
  2.89307594e-01  4.03240532e-01  2.16583267e-01  7.09458739e-02
 -2.52063781e-01 -1.22840427e-01 -2.74079770e-01  1.51556939e-01
  9.90877301e-03  2.60334238e-02  2.58381307e-01  3.49645644e-01
  8.97323713e-02  3.35530117e-02 -4.22807001e-02 -1.69028550e-01
 -5.80576696e-02  1.35317981e-01  1.99034482e-01 -1.23041689e-01
 -4.02709382e-04  2.40898132e-01  1.72276929e-01 -2.71708429e-01
 -1.57961226e-03  1.34815320e-01 -1.35850027e-01 -6.66357949e-03
  5.72373420e-02  1.96831301e-01 -2.23472267e-01  2.27152362e-01
 -1.37843743e-01  2.24476606e-01  4.68806103e-02  1.92541137e-01
 -4.20913137e-02  1.97846547e-01 -1.61650434e-01 -2.31129736e-01
 -5.56491204e-02 -1.10474534e-01  1.24180466e-01  1.30070984e-01
  2.70163208e-01 -4.97356094e-02 -1.71321809e-01 -7.25132301e-02
  1.82895735e-01  1.35112792e-01  1.62152648e-01  1.86915770e-01
 -5.16970307e-02  1.09185465e-01 -3.44567209e-01  6.85845241e-02
 -1.18999928e-01 -6.61837682e-02  1.77847326e-01  3.24813873e-02
  8.18527266e-02 -4.26314212e-02 -2.34618217e-01 -1.74985752e-01
 -1.47779375e-01 -6.78244233e-02 -1.22039154e-01 -1.41298503e-01
  4.08051349e-02 -1.45413876e-01 -1.03070460e-01  2.38530375e-02
 -4.13910374e-02  7.30221644e-02  2.47043639e-01 -1.11897402e-01
 -2.20372174e-02  2.08994195e-01  5.31805009e-02 -1.27736077e-01
  1.21084027e-01  3.59518558e-01 -7.20806867e-02 -1.27026383e-02
  1.05861530e-01 -2.76848406e-01  3.96700837e-02 -1.38857275e-01
  9.82339531e-02  1.29632782e-02 -1.18355942e-03  3.33013326e-01]"
21375,P62260,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
759,Q04917,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
25518,P68510,"[ 0.10914373 -0.05718188 -0.17228146  0.14485525  0.12297334  0.2660278
 -0.12316089 -0.01062963  0.43793303 -0.20140107  0.08458497  0.0530248
 -0.1576265  -0.09985191  0.21698736  0.21327095  0.22842143  0.25696313
  0.29358622  0.06098079  0.15719645  0.02613856  0.1952972  -0.09093931
  0.0219695  -0.26719505 -0.03020003 -0.23044261  0.08077039 -0.12360927
  0.30686918 -0.15891643 -0.1238822  -0.07540256  0.32672772 -0.20965628
  0.28563684  0.39800414  0.21378279  0.07005709 -0.24883774 -0.12123368
 -0.27040938  0.14949323  0.00978695  0.02559837  0.25498587  0.3449737
  0.08858376  0.03297211 -0.04196057 -0.16700552 -0.05763863  0.13427138
  0.19769363 -0.12220238 -0.00054003  0.23885182  0.17094792 -0.26967302
 -0.00141482  0.13359426 -0.13485152 -0.00672656  0.05675343  0.19528364
 -0.22160098  0.22540827 -0.13673115  0.22258908  0.04669567  0.19094718
 -0.04162557  0.19648662 -0.16039065 -0.22925518 -0.05509832 -0.10934255
  0.12322917  0.12925404  0.26815024 -0.04899954 -0.1699821  -0.07209735
  0.18137291  0.13404627  0.1608322   0.18520094 -0.05120724  0.1082623
 -0.34167048  0.06807681 -0.1181495  -0.06548563  0.17635563  0.03212154
  0.08166175 -0.04230707 -0.23327684 -0.17392504 -0.14707296 -0.06759464
 -0.12132289 -0.14063352  0.04043612 -0.14469016 -0.10250019  0.02391332
 -0.04128658  0.07282555  0.24581704 -0.11115582 -0.02191507  0.20802379
  0.05306236 -0.12726034  0.12043381  0.3578046  -0.07174674 -0.01264958
  0.10586368 -0.27715862  0.0396328  -0.13901144  0.09823599  0.01283504
 -0.00096542  0.3333875 ]"
24925,P61981,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
26336,P61982,"[ 1.45647600e-01 -4.39077690e-02 -9.39614102e-02  1.48994759e-01
  1.41320869e-01  2.90543884e-01 -1.19226336e-01  1.55315166e-02
  4.38003302e-01 -1.25495359e-01  1.19668454e-01  6.05049171e-02
 -1.46218121e-01 -1.32415548e-01  3.28766376e-01  1.76353469e-01
  1.96442142e-01  2.99601227e-01  2.74715006e-01  6.78292289e-02
  8.98614302e-02  6.73225820e-02  2.29060724e-01 -1.48190692e-01
 -2.21940391e-02 -2.92918622e-01  1.04148865e-01 -2.97244608e-01
  1.47778809e-01 -1.33983701e-01  2.81738013e-01 -2.69903183e-01
 -7.10389167e-02 -9.72731784e-02  3.24390352e-01 -2.30879173e-01
  3.05134565e-01  3.71693522e-01  3.60557556e-01  6.04049787e-02
 -2.72447914e-01 -1.83466554e-01 -3.70671749e-01  1.75915688e-01
  3.45154405e-02 -6.14041947e-02  2.57745951e-01  3.11926365e-01
  4.55490276e-02  1.26179203e-01 -1.02594092e-01 -1.30905017e-01
 -6.11517541e-02  7.90219083e-02  2.41120458e-01 -1.45705953e-01
  2.29777279e-03  3.15988302e-01  1.34996116e-01 -3.43368411e-01
  1.00734355e-02  2.54704684e-01 -2.11759612e-01  4.46947757e-04
 -4.53470828e-04  2.02118546e-01 -2.13779926e-01  2.03508168e-01
 -7.34470114e-02  3.22827131e-01  1.03351474e-01  3.05236101e-01
 -8.61895606e-02  1.40686020e-01 -1.87134624e-01 -1.23566844e-01
 -1.13223411e-01 -1.53628096e-01  1.57583505e-01  9.80062038e-02
  2.34549016e-01 -6.38973191e-02 -2.10492730e-01 -1.40075117e-01
  1.17760502e-01  1.26460060e-01  2.26509959e-01  2.47246206e-01
 -5.54875210e-02  7.97581598e-02 -3.59925032e-01  8.74582380e-02
 -1.46874472e-01 -1.03505485e-01  8.86894614e-02 -5.04612029e-02
  1.52117208e-01 -8.18781629e-02 -2.71312386e-01 -2.53006995e-01
 -2.52648860e-01 -9.39450413e-02 -1.12322219e-01 -1.51818722e-01
  3.13688517e-02 -2.30220303e-01 -1.03888951e-01  2.09676437e-02
 -1.29028991e-01  6.99137673e-02  2.06784979e-01 -9.19228718e-02
  1.57370344e-02  2.89819062e-01  5.88775389e-02 -1.35646626e-01
  1.61252901e-01  3.48317981e-01 -4.10432480e-02  9.91338193e-02
  1.41848132e-01 -4.53375012e-01  8.75068232e-02 -2.09791049e-01
  1.76004827e-01 -2.35516019e-02 -2.16750633e-02  2.56270409e-01]"
22311,P61983,"[ 1.51187345e-01 -4.55982387e-02 -9.70796123e-02  1.54585630e-01
  1.46644190e-01  3.01073104e-01 -1.23762906e-01  1.62531957e-02
  4.53863829e-01 -1.29959539e-01  1.24020286e-01  6.25701770e-02
 -1.49573803e-01 -1.35435000e-01  3.36466670e-01  1.80002913e-01
  2.00742304e-01  3.06103468e-01  2.80614525e-01  6.93905875e-02
  9.17437598e-02  6.87660500e-02  2.34056875e-01 -1.51596993e-01
 -2.23758183e-02 -2.95872897e-01  1.05290145e-01 -3.00166219e-01
  1.49473384e-01 -1.35232478e-01  2.84576237e-01 -2.72803366e-01
 -7.11342320e-02 -9.73624587e-02  3.25002074e-01 -2.31188238e-01
  3.05650741e-01  3.72269452e-01  3.61420512e-01  6.05235770e-02
 -2.72934586e-01 -1.83782324e-01 -3.71373236e-01  1.76400691e-01
  3.46878693e-02 -6.14927411e-02  2.58137047e-01  3.12494427e-01
  4.54960540e-02  1.26271918e-01 -1.02836676e-01 -1.31026804e-01
 -6.12377599e-02  7.91897997e-02  2.41620868e-01 -1.45801380e-01
  2.21657613e-03  3.16021204e-01  1.34968325e-01 -3.43226999e-01
  1.01627810e-02  2.54773289e-01 -2.11663097e-01  4.43120371e-04
 -5.95114368e-04  2.01648369e-01 -2.13254496e-01  2.02997252e-01
 -7.31842965e-02  3.22332621e-01  1.03422605e-01  3.04820597e-01
 -8.55022892e-02  1.39272168e-01 -1.85241073e-01 -1.22239485e-01
 -1.12649485e-01 -1.52818888e-01  1.56686559e-01  9.72830728e-02
  2.33200163e-01 -6.36148602e-02 -2.09216520e-01 -1.39463574e-01
  1.17134370e-01  1.25804931e-01  2.25060791e-01  2.45782509e-01
 -5.53687476e-02  7.93974474e-02 -3.58160555e-01  8.69860575e-02
 -1.46317124e-01 -1.03115931e-01  8.80701616e-02 -5.03482223e-02
  1.50704071e-01 -8.11071843e-02 -2.68951535e-01 -2.50850648e-01
 -2.50646621e-01 -9.32433903e-02 -1.11402005e-01 -1.50410339e-01
  3.13298590e-02 -2.29146376e-01 -1.03293382e-01  2.09365413e-02
 -1.28621042e-01  6.97132796e-02  2.05740914e-01 -9.14806053e-02
  1.56061463e-02  2.88482457e-01  5.86664118e-02 -1.35118857e-01
  1.60725832e-01  3.46605331e-01 -4.08999771e-02  9.88745317e-02
  1.41345963e-01 -4.51395363e-01  8.72081891e-02 -2.08840594e-01
  1.75299928e-01 -2.34565362e-02 -2.16792952e-02  2.55043983e-01]"
1312,P31947,"[ 1.48423448e-01 -4.47574705e-02 -9.55670327e-02  1.51516795e-01
  1.44312546e-01  2.95773149e-01 -1.21528022e-01  1.58161409e-02
  4.44662780e-01 -1.27616853e-01  1.21271394e-01  6.14668764e-02
 -1.48402736e-01 -1.34646893e-01  3.34200948e-01  1.78961590e-01
  1.99475542e-01  3.04190040e-01  2.78965354e-01  6.88081533e-02
  9.14098397e-02  6.82811737e-02  2.32584536e-01 -1.50628269e-01
 -2.22886559e-02 -2.93929160e-01  1.04724064e-01 -2.98100889e-01
  1.48348674e-01 -1.34238556e-01  2.82543987e-01 -2.70988166e-01
 -6.95734471e-02 -9.49881524e-02  3.17516357e-01 -2.25712731e-01
  2.98626721e-01  3.63975286e-01  3.53043616e-01  5.88511638e-02
 -2.69322723e-01 -1.81238934e-01 -3.66210938e-01  1.74132496e-01
  3.42389159e-02 -6.04901388e-02  2.54844517e-01  3.08613092e-01
  4.51016277e-02  1.24780566e-01 -1.01440661e-01 -1.29795298e-01
 -6.04830645e-02  7.84802437e-02  2.39021912e-01 -1.44288048e-01
  2.30232091e-03  3.13276142e-01  1.33912355e-01 -3.40068877e-01
  9.94305685e-03  2.52307385e-01 -2.09730282e-01  7.19461183e-04
 -1.93793559e-04  1.99165493e-01 -2.10505798e-01  2.00546265e-01
 -7.25301653e-02  3.18217605e-01  1.01854026e-01  3.01104635e-01
 -8.43594000e-02  1.37861058e-01 -1.82961091e-01 -1.21327534e-01
 -1.11521631e-01 -1.51480123e-01  1.54974878e-01  9.65785980e-02
  2.30981275e-01 -6.32389411e-02 -2.07361743e-01 -1.37829691e-01
  1.16163172e-01  1.24509752e-01  2.22815365e-01  2.43541077e-01
 -5.49814701e-02  7.87534341e-02 -3.56362551e-01  8.65197480e-02
 -1.45387128e-01 -1.02499157e-01  8.79658386e-02 -4.98314053e-02
  1.49316832e-01 -8.06507617e-02 -2.67221332e-01 -2.48907611e-01
 -2.48834550e-01 -9.25687701e-02 -1.10843040e-01 -1.49042875e-01
  3.10849249e-02 -2.27310553e-01 -1.02603704e-01  2.08389200e-02
 -1.27339780e-01  6.92292377e-02  2.04429865e-01 -9.08632651e-02
  1.55820623e-02  2.87441313e-01  5.84358536e-02 -1.34493992e-01
  1.60026968e-01  3.45454484e-01 -4.09070700e-02  9.82862487e-02
  1.40759289e-01 -4.49463040e-01  8.67382511e-02 -2.07803085e-01
  1.74522892e-01 -2.29170732e-02 -2.19071191e-02  2.54692644e-01]"
2908,O70456,"[ 0.11124276 -0.0585143  -0.17574735  0.14787902  0.12449315  0.2691341
 -0.12455544 -0.01076526  0.43658444 -0.20084038  0.08429769  0.05284942
 -0.15698348 -0.0995273   0.21648513  0.21252093  0.22786118  0.25643143
  0.29286504  0.06078223  0.15685107  0.02614842  0.19486085 -0.09079626
  0.02197936 -0.26657403 -0.02998505 -0.22970998  0.08054236 -0.12324629
  0.30594194 -0.15861906 -0.12440004 -0.07574925  0.32842147 -0.21064124
  0.28718483  0.39996615  0.21494474  0.07048789 -0.25003853 -0.12167712
 -0.27159533  0.15013412  0.0099583   0.02563004  0.2563744   0.34670585
  0.08888705  0.03306894 -0.0420876  -0.16789986 -0.05755468  0.13412201
  0.19765833 -0.12204632 -0.00048742  0.23887268  0.17093664 -0.26941437
 -0.00153431  0.13360809 -0.1348115  -0.00661931  0.05662362  0.19518544
 -0.22152151  0.22533494 -0.13663773  0.22252536  0.04661974  0.19088644
 -0.04161562  0.19634643 -0.16028838 -0.22907256 -0.05518711 -0.10944479
  0.1230909   0.12919724  0.26797822 -0.04897271 -0.16993469 -0.07192998
  0.18126415  0.13385653  0.16063708  0.18518102 -0.05122436  0.10809293
 -0.3415104   0.06811088 -0.11812038 -0.06544852  0.17616548  0.0322015
  0.08216346 -0.04286567 -0.23534775 -0.1754761  -0.14844143 -0.0680689
 -0.12245079 -0.14184067  0.04081435 -0.14597408 -0.10341246  0.02399885
 -0.0417104   0.07335669  0.24781196 -0.11219775 -0.0222223   0.20961234
  0.05338976 -0.12831965  0.1215983   0.36066008 -0.0724892  -0.01254381
  0.10620517 -0.2777363   0.0397538  -0.1394742   0.09832255  0.0129867
 -0.00112596  0.334309  ]"
26106,P27348,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
18,P68254,"[ 0.10727749 -0.05619618 -0.16935487  0.14248307  0.11979012  0.25924903
 -0.11984535 -0.01031333  0.42443806 -0.19522163  0.0819789   0.05129383
 -0.1528373  -0.09684289  0.21033832  0.20660271  0.22263172  0.25059944
  0.28637946  0.05950726  0.15332581  0.02562171  0.19051573 -0.08868484
  0.02145078 -0.26052743 -0.02956947 -0.22461437  0.0785614  -0.12060587
  0.29915053 -0.1550584  -0.12485787 -0.07609644  0.32957897 -0.21145004
  0.2882162   0.40140834  0.21569394  0.07074054 -0.25096604 -0.12235498
 -0.2726947   0.15060984  0.00998556  0.02577781  0.25728554  0.34789774
  0.09003209  0.03341085 -0.04275164 -0.16994132 -0.05831706  0.13584808
  0.20026591 -0.12379087 -0.00061605  0.2418001   0.17306598 -0.2730175
 -0.00133396  0.13525735 -0.13647617 -0.00682204  0.05730487  0.1974483
 -0.22412081  0.227986   -0.13826272  0.22508177  0.04727108  0.19312946
 -0.04213323  0.19882083 -0.16229424 -0.23180416 -0.0557009  -0.11050779
  0.12467558  0.1307288   0.27096817 -0.0494316  -0.17171448 -0.07293662
  0.18329479  0.13532843  0.16245309  0.18705256 -0.05167316  0.10944402
 -0.34521013  0.0688243  -0.11948308 -0.06619271  0.1780467   0.03239265
  0.08262359 -0.04278193 -0.23581009 -0.1757743  -0.14871469 -0.06839634
 -0.12257518 -0.1422609   0.04087601 -0.14617051 -0.10351973  0.02427405
 -0.04178542  0.0736076   0.24829799 -0.11231881 -0.02215889  0.21022603
  0.05368438 -0.12857783  0.12162232  0.36150584 -0.07243198 -0.01274934
  0.10624127 -0.27842692  0.0398611  -0.13963883  0.09862177  0.01284316
 -0.00088494  0.33485845]"
29843,P68255,"[ 0.1091944  -0.05726303 -0.17239343  0.14499052  0.12199852  0.26404157
 -0.1221418  -0.01060203  0.43201807 -0.19862755  0.0834067   0.05236863
 -0.15612736 -0.0989965   0.2150309   0.21141613  0.22637144  0.25470915
  0.2910101   0.06046092  0.15574816  0.0260075   0.193507   -0.09020371
  0.02171561 -0.26489803 -0.02985581 -0.22851558  0.08004241 -0.12256661
  0.30426687 -0.15757431 -0.1244381  -0.07575298  0.3281742  -0.21054372
  0.2869639   0.39985237  0.21474642  0.07040564 -0.24994397 -0.1217447
 -0.2716013   0.15012932  0.00984997  0.02569772  0.25614044  0.34651944
  0.08893511  0.03314352 -0.04204646 -0.1676567  -0.05756764  0.13411069
  0.19742939 -0.12202257 -0.00046454  0.23871729  0.17078649 -0.269392
 -0.0015276   0.13353181 -0.13474542 -0.00666862  0.057011    0.19622643
 -0.22271927  0.22650072 -0.1373402   0.22369207  0.04683632  0.19181651
 -0.04189171  0.19757216 -0.16135506 -0.2305828  -0.05544644 -0.11004658
  0.12391593  0.12996483  0.2696813  -0.04934183 -0.17099863 -0.07244761
  0.18242218  0.13480334  0.16177386  0.18636172 -0.05151632  0.10888659
 -0.3436832   0.06846682 -0.11878635 -0.06589403  0.17740013  0.03235292
  0.08211444 -0.042639   -0.2348291  -0.17508118 -0.14798482 -0.06792651
 -0.12209771 -0.14151147  0.04068199 -0.14554577 -0.10311589  0.0239741
 -0.04149707  0.07319185  0.24726993 -0.11185206 -0.02203842  0.20921552
  0.05332364 -0.12795031  0.12116175  0.35990244 -0.07218812 -0.01270456
  0.10587838 -0.27712062  0.03963485 -0.13901794  0.0982583   0.01286698
 -0.00098441  0.33340153]"
